cod_ibge7,cod_ibge6,cod_siafi,uf,nome_municipio,ano_mes,n_cat,n_obito,n_cid_mental,n_cid_lesao,n_cid_musculo,bf_beneficiarios,bf_entradas,bf_valor_total
3100500,310050,4009,MG,ACUCENA                                      ,202510,0,0,0,0,0,956,1,624738.0
4120002,412000,7779,PR,PORECATU                                     ,202510,0,0,0,0,0,718,1,470550.0
1101476,110147,0016,RO,PRIMAVERA DE RONDONIA                        ,202510,0,0,0,0,0,260,1,171735.0
2922607,292260,3753,BA,NILO PECANHA                                 ,202510,0,0,0,0,0,2716,14,1853080.0
2311355,231135,9853,CE,QUIXELO                                      ,202510,0,0,0,0,0,2906,4,1937126.0
2100709,210070,0713,MA,ANAJATUBA                                    ,202510,0,0,0,0,0,6000,26,4073312.0
2112456,211245,0262,MA,TURILANDIA                                   ,202510,0,0,0,0,0,5402,18,3818700.0
3145877,314587,0674,MG,ORIZANIA                                     ,202510,0,0,0,0,0,1241,2,840494.0
3148756,314875,0682,MG,PEDRA BONITA                                 ,202510,0,0,0,0,0,1278,3,884947.0
3149952,314995,0684,MG,PERIQUITO                                    ,202510,0,0,0,0,0,688,1,444504.0
2203453,220345,1289,PI,DOM INOCENCIO                                ,202510,0,0,0,0,0,2034,9,1340558.0
2203602,220360,1071,PI,ELISEU MARTINS                               ,202510,0,0,0,0,0,830,4,565775.0
2204709,220470,1093,PI,INHUMA                                       ,202510,0,0,0,0,0,2518,4,1665437.0
4305603,430560,8609,RS,COLORADO                                     ,202510,0,0,0,0,0,65,1,38177.0
2700805,270080,2715,AL,BELEM                                        ,202510,0,0,0,0,0,804,2,545165.0
2701100,270110,2721,AL,BRANQUINHA                                   ,202510,0,0,0,0,0,1897,1,1301040.0
2701902,270190,2737,AL,CHA PRETA                                    ,202510,0,0,0,0,0,1915,17,1299167.0
1304260,130426,9849,AM,UARINI                                       ,202510,0,0,0,0,0,3052,71,2345937.0
2913309,291330,3567,BA,ICHU                                         ,202510,0,0,0,0,0,1260,4,854827.0
2102705,210270,0751,MA,CANTANHEDE                                   ,202510,0,0,0,0,0,3371,4,2329330.0
2103109,210310,0759,MA,CEDRAL                                       ,202510,0,0,0,0,0,2571,10,1728763.0
2103158,210315,0146,MA,CENTRO DO GUILHERME                          ,202510,0,0,0,0,0,2982,10,2168215.0
3163805,316380,5275,MG,SAO MIGUEL DO ANTA                           ,202510,0,0,0,0,0,834,2,542984.0
3166105,316610,5321,MG,SENHORA DO PORTO                             ,202510,0,0,0,0,0,345,1,236905.0
2504504,250450,1991,PB,CONDADO                                      ,202510,0,0,0,0,0,1214,2,810584.0
2505402,250540,2009,PB,DESTERRO                                     ,202510,0,0,0,0,0,2110,8,1422937.0
2506905,250690,2039,PB,ITABAIANA                                    ,202510,0,0,0,0,0,4873,5,3195435.0
2607307,260730,2445,PE,IPUBI                                        ,202510,0,0,0,0,0,6498,11,4599052.0
2205953,220595,2275,PI,MARCOLANDIA                                  ,202510,0,0,0,0,0,2084,2,1439524.0
4310504,431050,8711,RS,IRAI                                         ,202510,0,0,0,0,0,528,3,351399.0
4311429,431142,5983,RS,LAJEADO DO BUGRE                             ,202510,0,0,0,0,0,307,2,204457.0
4311502,431150,8731,RS,LAVRAS DO SUL                                ,202510,0,0,0,0,0,575,1,390415.0
3505104,350510,6199,SP,BARBOSA                                      ,202510,0,0,0,0,0,580,1,391616.0
3543253,354325,3057,SP,RIBEIRAO GRANDE                              ,202510,0,0,0,0,0,323,1,206381.0
3546504,354650,7031,SP,SANTA ERNESTINA                              ,202510,0,0,0,0,0,317,2,219675.0
1715259,171525,0321,TO,NOVO JARDIM                                  ,202510,0,0,0,0,0,335,1,232179.0
2903805,290380,3375,BA,BOA VISTA DO TUPIM                           ,202510,0,0,0,0,0,3962,7,2682462.0
2919108,291910,3683,BA,LAMARAO                                      ,202510,0,0,0,0,0,2625,3,1708022.0
2932309,293230,3945,BA,UBATA                                        ,202510,0,0,0,0,0,2661,8,1808042.0
2309458,230945,1265,CE,OCARA                                        ,202510,0,0,0,0,0,4609,4,3017440.0
1500131,150013,0375,PA,ABEL FIGUEIREDO                              ,202510,0,0,0,0,0,1312,2,911729.0
4118709,411870,7755,PR,PAULO FRONTIN                                ,202510,0,0,0,0,0,276,1,188016.0
4118857,411885,0868,PR,PEROBAL                                      ,202510,0,0,0,0,0,230,1,159764.0
2414100,241410,1879,RN,TENENTE ANANIAS                              ,202510,0,0,0,0,0,1782,2,1186446.0
2414456,241445,0436,RN,TRIUNFO POTIGUAR                             ,202510,0,0,0,0,0,1011,3,666918.0
2804706,280470,3193,SE,NOSSA SENHORA DE LOURDES                     ,202510,0,0,0,0,0,1144,3,769165.0
3551405,355140,7129,SP,SERRA AZUL                                   ,202510,0,0,0,0,0,1015,2,668747.0
3552304,355230,7147,SP,SUD MENNUCCI                                 ,202510,0,0,0,0,0,335,3,217470.0
